"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","681.375","60.812","561","766","8.925"
"2010","60","651.543","106.986","212","830","16.42"
"2011","30","719.333","49.164","649","812","6.835"
"2012","30","795.3","61.528","541","880","7.736"
"2013","38","828.947","84.353","605","939","10.176"
"2014","50","839.56","56.14","706","1014","6.687"
"2015","55","867","114.146","691","1198","13.166"
"2016","55","799.398","164.349","7.41","932","20.559"
"2017","55","883.305","72.07","758","974","8.159"
"2018","55","1016.996","58.583","824.7","1132","5.76"
"2019","55","1125.255","97.891","722","1265","8.699"
"2020","5","1783.4","53.463","1725","1842","2.998"
"2021","55","1170.527","273.963","313","1532","23.405"
"2022","50","960.82","89.705","677","1101","9.336"
