"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","123.083","10.439","104","143.7","8.481"
"2010","60","126.507","12.233","93","158","9.67"
"2011","30","146.439","14.572","114.84","177.84","9.951"
"2012","30","124.674","13.644","101.57","142.37","10.944"
"2013","35","133.653","16.771","99.65","182.68","12.548"
"2014","50","143.709","18.523","106.38","192.11","12.889"
"2015","55","148.609","10.245","125.88","167.67","6.894"
"2016","55","156.396","15.197","112.85","183.59","9.717"
"2017","54","182.191","12.667","163.68","210","6.952"
"2018","55","190.844","12.534","163.94","221.51","6.567"
"2019","55","169.915","25.164","72.15","212.52","14.81"
"2020","5","159.832","2.772","156.28","163.06","1.734"
"2021","55","120.548","30.985","70.8","167.93","25.703"
"2022","50","157.823","85.95","101.38","434.33","54.459"
