"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","0.79","0.091","0.62","1","11.55"
"2010","60","0.841","0.115","0.27","1.02","13.633"
"2011","30","0.847","0.077","0.73","1","9.088"
"2012","30","0.981","0.113","0.65","1.14","11.472"
"2013","38","0.815","0.147","0.57","1.17","17.987"
"2014","50","0.909","0.213","0.54","1.21","23.421"
"2015","55","1.102","0.25","0.72","1.77","22.729"
"2016","55","0.909","0.712","0.49","5.87","78.337"
"2017","55","1.146","0.791","0.62","4.04","69.039"
"2018","55","0.925","0.248","0.62","1.97","26.762"
"2019","55","1.837","0.888","0.7","4.66","48.359"
"2020","5","1.562","0.302","1.21","1.97","19.32"
"2021","55","0.853","0.252","0.47","2.19","29.499"
"2022","50","0.85","0.389","0.49","3.42","45.762"
