"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","38.513","140.289","0.211","640","364.265"
"2010","60","0.65","0.469","0.3","3.27","72.087"
"2011","30","0.561","0.219","0.3","1.42","39.091"
"2012","30","0.683","0.258","0.31","1.59","37.696"
"2013","38","0.871","0.326","0.37","2.32","37.403"
"2014","50","1.018","0.21","0.37","1.57","20.611"
"2015","55","1.107","0.098","0.88","1.33","8.862"
"2016","55","1.349","0.145","1.06","1.78","10.749"
"2017","55","1.542","0.22","1.25","2.53","14.25"
"2018","55","1.537","0.15","1.27","1.87","9.751"
"2019","55","1.497","0.198","1.26","2.18","13.236"
"2020","5","1.566","0.187","1.28","1.78","11.935"
"2021","55","1.569","0.273","1.2","2.33","17.399"
"2022","50","1.722","0.254","1.21","2.71","14.761"
