"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","39","6.992","2.379","1.63","11.28","34.018"
"2010","60","11.709","18.331","5.32","148.74","156.554"
"2011","30","7.593","2.486","4.09","16.02","32.743"
"2012","30","8.674","1.572","8.37","16.98","18.117"
"2013","35","8.515","0.61","8.37","11.83","7.168"
"2014","50","7.63","2.659","0","13.23","34.853"
"2015","55","8.6","0.824","8.37","12.54","9.578"
"2016","55","10.411","6.752","8.37","42.76","64.857"
"2017","55","9.931","2.761","8.37","24.81","27.804"
"2018","54","8.582","2.815","5.14","15.39","32.798"
"2019","55","6.958","3.285","5.14","21.49","47.209"
"2020","5","8.504","4.175","5.14","13.18","49.095"
"2021","55","7.798","4.388","5.14","23.59","56.274"
"2022","50","9.57","7.437","5.14","33.77","77.708"
