"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","20","624.071","376.738","0.109","960","60.368"
"2010","10","444.08","470.074","0.108","980","105.854"
"2011","0","NaN",NA,"Inf","-Inf",NA
"2012","30","264.705","314.99","0.05","840","118.996"
"2013","38","493.188","329.943","0.05","980","66.9"
"2014","50","509.04","367.241","0.05","990","72.144"
"2015","55","399.676","340.986","0.05","940","85.316"
"2016","55","419.495","360.011","0.05","950","85.82"
"2017","55","256.214","325.707","0.05","910","127.123"
"2018","55","154.229","272.436","0.05","940","176.644"
"2019","55","175.686","296.248","0.05","950","168.623"
"2020","5","124.04","277.25","0.05","620","223.517"
"2021","55","171.32","300.786","0.05","880","175.57"
"2022","50","321.027","331.36","0.05","870","103.219"
