"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","0","NaN",NA,"Inf","-Inf",NA
"2010","0","NaN",NA,"Inf","-Inf",NA
"2011","0","NaN",NA,"Inf","-Inf",NA
"2012","0","NaN",NA,"Inf","-Inf",NA
"2013","22","0","0","0","0","NaN"
"2014","0","NaN",NA,"Inf","-Inf",NA
"2015","0","NaN",NA,"Inf","-Inf",NA
"2016","0","NaN",NA,"Inf","-Inf",NA
"2017","0","NaN",NA,"Inf","-Inf",NA
"2018","0","NaN",NA,"Inf","-Inf",NA
"2019","0","NaN",NA,"Inf","-Inf",NA
"2020","0","NaN",NA,"Inf","-Inf",NA
"2021","0","NaN",NA,"Inf","-Inf",NA
"2022","0","NaN",NA,"Inf","-Inf",NA
