"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","20525","27056.434","0","70000","131.822"
"2010","60","78.334","430.251","0","2700","549.253"
"2011","30","4400","16746.796","0","67000","380.609"
"2012","30","8427.667","24797.264","0","97000","294.236"
"2013","38","16526.316","28813.226","0","98000","174.348"
"2014","50","6840","18763.142","0","64000","274.315"
"2015","55","24041.957","30679.799","0","75000","127.609"
"2016","55","19654.547","33251.13","0","96000","169.178"
"2017","55","10576","21819.524","0","69000","206.312"
"2018","55","15842.909","31702.743","0","91000","200.107"
"2019","55","13665.091","27950.446","0","98000","204.539"
"2020","5","28204","40452.788","0","89000","143.429"
"2021","55","21.455","159.111","0","1180","741.603"
"2022","50","0","0","0","0","0"
