"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","0.122","0.07","0.1","0.39","57.349"
"2010","60","0.424","0.492","0.1","2.15","116.193"
"2011","30","0.368","0.083","0.23","0.49","22.448"
"2012","30","0.301","0.149","0.1","0.77","49.496"
"2013","38","0.112","0.045","0.1","0.35","40.409"
"2014","50","0.109","0.024","0.1","0.22","21.943"
"2015","55","0.119","0.025","0.1","0.2","21.149"
"2016","55","0.103","0.011","0.1","0.15","11.169"
"2017","55","0.101","0.007","0.1","0.15","6.681"
"2018","55","0.1","0","0.1","0.1","0"
"2019","55","0.154","0.114","0.1","0.84","74.299"
"2020","5","0.368","0.063","0.3","0.47","17.122"
"2021","55","0.121","0.045","0.1","0.29","37.498"
"2022","50","0.144","0.044","0.1","0.24","30.422"
