"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","9.488","3.417","1.57","16.8","36.015"
"2010","60","8.703","4.708","0.23","18","54.098"
"2011","30","8.222","3.126","2.08","13.5","38.024"
"2012","30","11.738","4.902","1.28","18.16","41.76"
"2013","38","10.576","5.219","1.92","19.43","49.349"
"2014","50","8.531","3.901","1.26","16.3","45.73"
"2015","55","7.953","3.864","1.54","15.97","48.591"
"2016","50","9.296","4.625","2.04","19.54","49.75"
"2017","15","10.492","2.198","6.22","15.02","20.953"
"2018","54","8.358","2.896","1.49","16.62","34.655"
"2019","55","7.857","1.999","3.34","13.3","25.438"
"2020","5","7.42","0.724","6.65","8.4","9.759"
"2021","55","7.283","2.175","3.91","13.98","29.867"
"2022","50","6.876","2.716","0.43","12.88","39.502"
