"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","0.002","0","0.002","0.002","0"
"2010","60","0.002","0","0.002","0.002","0"
"2011","30","852.202","1807.417","0.002","6400","212.088"
"2012","30","2447.634","2820.702","0.002","9200","115.242"
"2013","38","186.818","773.885","0.002","3800","414.245"
"2014","50","3.022","21.354","0.002","151","706.522"
"2015","55","92.73","687.684","0.002","5100","741.6"
"2016","55","65.459","485.423","0.002","3600","741.571"
"2017","55","610.911","1353.003","0.002","5100","221.473"
"2018","55","14.711","48.059","0.002","214","326.682"
"2019","55","3713.185","3451.838","0.002","9800","92.962"
"2020","5","4240","650.385","3700","5300","15.339"
"2021","55","3626.091","3304.03","0.002","9700","91.118"
"2022","50","4016.18","3455.134","0.002","9100","86.03"
