"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","3.064","0.663","1.6","4.8","21.639"
"2010","60","3.115","0.853","1.27","5","27.39"
"2011","30","3.04","0.781","1.55","4.7","25.697"
"2012","30","2.918","0.565","1.69","4.3","19.367"
"2013","38","2.996","0.834","0.93","4.5","27.834"
"2014","42","3.269","0.747","1.37","4.8","22.844"
"2015","50","3.485","0.653","1.9","5","18.744"
"2016","20","3.243","0.94","1.46","5","28.978"
"2017","0","NaN",NA,"Inf","-Inf",NA
"2018","0","NaN",NA,"Inf","-Inf",NA
"2019","0","NaN",NA,"Inf","-Inf",NA
"2020","0","NaN",NA,"Inf","-Inf",NA
"2021","0","NaN",NA,"Inf","-Inf",NA
"2022","0","NaN",NA,"Inf","-Inf",NA
