"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","45.862","162.234","0.019","670","353.745"
"2010","60","0.1","0.088","0.019","0.37","88.134"
"2011","30","0.028","0.048","0.019","0.283","173.38"
"2012","30","0.03","0.062","0.019","0.36","205.02"
"2013","38","0.019","0","0.019","0.019","0"
"2014","50","0.019","0","0.019","0.019","0"
"2015","55","0.019","0","0.019","0.019","0"
"2016","55","0.125","0.084","0.019","0.19","67.231"
"2017","55","0.193","0.019","0.19","0.33","9.804"
"2018","55","0.1","0","0.1","0.1","0"
"2019","55","0.143","0.098","0.1","0.46","68.406"
"2020","5","0.1","0","0.1","0.1","0"
"2021","55","0.133","0.069","0.1","0.46","51.87"
"2022","50","0.241","0.175","0.1","0.82","72.532"
