"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","39","0.257","0.187","0.1","0.69","72.766"
"2010","60","0.503","0.522","0.1","3.18","103.658"
"2011","30","2.872","3.786","0.1","9.34","131.844"
"2012","30","0.718","0.284","0.1","1.27","39.614"
"2013","35","0.954","0.637","0.1","2.32","66.796"
"2014","50","0.499","0.415","0.1","1.4","83.116"
"2015","55","1.99","1.233","0.1","7.3","61.952"
"2016","55","2.843","1.459","0.31","7.52","51.32"
"2017","48","3.533","1.5","1.59","7.41","42.445"
"2018","54","2.351","1.276","0.29","6.53","54.267"
"2019","55","1.142","1.025","0.1","4.6","89.733"
"2020","5","0.188","0.143","0.1","0.43","76.289"
"2021","55","0.479","0.499","0.1","1.87","104.214"
"2022","50","0.442","0.624","0.1","3.26","141.395"
