"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","487.125","67.916","415","778","13.942"
"2010","60","486.033","65.193","339","594","13.413"
"2011","30","532.233","74.406","393","713","13.98"
"2012","30","535.233","64.84","254","599","12.114"
"2013","38","560.132","70.896","286","670","12.657"
"2014","50","590.1","39.948","436","646","6.77"
"2015","55","611.345","65.647","435","718","10.738"
"2016","55","588.691","42.587","498","704","7.234"
"2017","55","623.036","37.01","554","717","5.94"
"2018","55","686.218","32.908","597","741","4.796"
"2019","55","773.655","71.797","491","899","9.28"
"2020","5","777.4","16.319","754","799","2.099"
"2021","55","776.559","182.56","273","1032.53","23.509"
"2022","50","640.675","105.976","76.87","783.34","16.541"
