"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","535.175","71.158","465","838","13.296"
"2010","60","534.939","71.89","417","656","13.439"
"2011","30","585.767","57.974","509","730","9.897"
"2012","30","620.133","66.447","309","690","10.715"
"2013","38","627.763","84.775","286","731","13.504"
"2014","50","635.54","36.961","553","723","5.816"
"2015","55","659.564","76.495","454","786","11.598"
"2016","55","638.182","49.642","558","766","7.779"
"2017","55","694.455","42.591","623","776","6.133"
"2018","55","759.582","38.996","661","831","5.134"
"2019","55","843.364","80.319","543","999","9.524"
"2020","5","849.4","14.588","827","867","1.717"
"2021","55","847.818","196.02","395","1107","23.121"
"2022","50","714.44","82.285","539","863","11.517"
