"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","0","NaN",NA,"Inf","-Inf",NA
"2010","60","23.038","3.326","14","28","14.436"
"2011","30","26.96","2.178","23","31.5","8.077"
"2012","29","28.203","2.508","23","32.9","8.893"
"2013","38","25.113","3.507","17.9","30.5","13.966"
"2014","50","24.314","4.082","17.4","32","16.788"
"2015","55","23.156","2.582","15.5","27.8","11.152"
"2016","20","19.87","4.805","10.1","23.6","24.182"
"2017","49","22.237","2.843","16.4","30","12.785"
"2018","55","21.745","4.015","12","30","18.463"
"2019","55","23.618","3.461","13","30","14.656"
"2020","5","18.2","2.588","15","21","14.222"
"2021","55","22.855","2.215","17","33","9.69"
"2022","50","21.7","2.493","15","26","11.488"
