"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","23.373","2.283","20.06","27","9.767"
"2010","59","22.528","3.45","15.06","28.6","15.314"
"2011","30","24.993","2.748","19.9","29.6","10.994"
"2012","30","25.983","1.563","23.5","29.1","6.015"
"2013","38","24.866","3.004","19.4","30.4","12.079"
"2014","50","23.268","3.137","17.2","30","13.484"
"2015","55","23.591","3.271","17","33","13.867"
"2016","55","22.815","2.711","15.6","26.1","11.881"
"2017","55","23.013","2.341","18.1","30","10.171"
"2018","55","22.109","3.077","17","27","13.918"
"2019","55","22.345","2.254","16","26","10.089"
"2020","5","18.8","0.837","18","20","4.45"
"2021","55","21.582","2.37","15","26","10.983"
"2022","50","22.2","2.587","17","26","11.654"
