"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","0","NaN",NA,"Inf","-Inf",NA
"2010","50","14.152","98.973","0.1","700","699.377"
"2011","30","0.158","0.03","0.12","0.24","18.844"
"2012","29","96.627","245.621","0.05","700","254.196"
"2013","28","0.39","0.351","0.09","0.9","90.083"
"2014","0","NaN",NA,"Inf","-Inf",NA
"2015","35","60.131","198.779","0.08","700","330.578"
"2016","20","9.443","5.567","0.14","15","58.962"
"2017","0","NaN",NA,"Inf","-Inf",NA
"2018","0","NaN",NA,"Inf","-Inf",NA
"2019","0","NaN",NA,"Inf","-Inf",NA
"2020","0","NaN",NA,"Inf","-Inf",NA
"2021","0","NaN",NA,"Inf","-Inf",NA
"2022","0","NaN",NA,"Inf","-Inf",NA
