"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","25.192","4.518","16.05","33.7","17.935"
"2010","60","56.733","30.756","17","240","54.212"
"2011","30","52.667","7.038","35","65","13.364"
"2012","30","72.667","19.597","45","140","26.968"
"2013","38","74.316","28.583","39","190","38.461"
"2014","50","56","16.803","31","100","30.005"
"2015","55","57.436","16.841","24","95","29.321"
"2016","55","92.292","116.976","22","922","126.745"
"2017","55","68.673","19.149","22","110","27.884"
"2018","55","84.564","22.664","23","180","26.801"
"2019","55","65.991","21.685","9","110","32.86"
"2020","5","110","7.071","100","120","6.428"
"2021","55","86.182","24.132","40","140","28.002"
"2022","50","60.41","21.018","18","95","34.792"
