"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","8.567","0.344","7.42","9.17","4.015"
"2010","60","8.935","0.446","7.02","9.47","4.986"
"2011","30","9.191","0.242","8.51","9.59","2.63"
"2012","30","9.323","0.285","8.42","9.75","3.059"
"2013","38","9.101","0.277","8.29","9.46","3.04"
"2014","50","9.133","0.201","8.52","9.6","2.197"
"2015","55","9.072","0.356","8.05","9.47","3.925"
"2016","55","9.194","0.183","8.59","9.51","1.995"
"2017","55","9.077","0.584","7.28","9.58","6.436"
"2018","55","9.145","0.44","7.4","9.7","4.807"
"2019","55","9.122","0.295","7.6","9.7","3.232"
"2020","5","8.72","0.045","8.7","8.8","0.513"
"2021","55","8.871","0.383","7.3","9.4","4.321"
"2022","50","8.982","0.354","8.1","9.4","3.939"
