"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","104","339","141","137","733","42"
"2010","143","299","136","63","645","45"
"2011","103","341","138","97","667","40"
"2012","112","331","120","72","614","36"
"2013","138","307","149","0","757","48"
"2014","138","280","140","0","731","50"
"2015","141","303","121","97","743","40"
"2016","65","303","144","89","670","48"
"2017","90","266","130","91","561","49"
"2018","138","312","136","70","688","43"
"2019","151","307","134","75","687","44"
"2020","154","359","134","124","635","37"
"2021","151","361","165","85","671","46"
"2022","156","334","142","93","613","43"
