"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","126","1.6","2.8","0.01","18","174"
"2010","143","21","110","0.01","770","535"
"2011","103","60","197","0.11","996","328"
"2012","112","40","155","0.13","890","390"
"2013","138","43","157","0","802","363"
"2014","138","14","77","0","664","545"
"2015","141","60","197","0.01","913","326"
"2016","65","36","157","0.01","858","430"
"2017","90","3.7","7.8","0.13","67","213"
"2018","138","56","199","0.1","982","356"
"2019","151","69","189","0.09","792","273"
"2020","154","7.7","68","0.1","845","887"
"2021","151","4.3","11","0.12","105","256"
"2022","156","27","122","0.1","790","454"
