"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","126","3092","3680","0.0025","9900","119"
"2010","143","1667","3184","0.0025","9900","191"
"2011","103","3913","3156","0.0025","9500","81"
"2012","112","3099","2349","0.0025","8700","76"
"2013","138","2359","2427","0","8700","103"
"2014","138","2527","2781","0","9900","110"
"2015","141","1848","2298","0.0025","8000","124"
"2016","65","3220","2827","0.0025","9500","88"
"2017","90","1525","2263","0.0025","9700","148"
"2018","138","2650","2792","0.0025","9400","105"
"2019","151","1254","2324","0.00025","9900","185"
"2020","154","2912","3568","0.0025","9900","123"
"2021","151","1673","2687","0.0025","9900","161"
"2022","156","2062","3141","0.0025","9700","152"
