"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","126","0.0068","0.014","0.005","0.13","207"
"2010","117","0.0069","0.015","0.005","0.13","212"
"2011","103","278","637","0.005","6000","229"
"2012","112","472","770","0.005","6370","163"
"2013","138","2870","5345","0","50000","186"
"2014","138","1389","2999","0","9900","216"
"2015","141","3366","3682","0.005","9900","109"
"2016","65","1791","3218","0.005","9800","180"
"2017","90","170","337","0.1","994","199"
"2018","138","286","716","0.1","7600","250"
"2019","151","168","326","0.1","993","194"
"2020","154","44","186","0.11","990","418"
"2021","151","163","315","0.06","990","194"
"2022","156","288","334","0.06","960","116"
