"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","126","39","57","2.2","288","147"
"2010","143","35","54","1.5","287","154"
"2011","103","49","67","1.3","296","136"
"2012","112","27","41","1.3","224","150"
"2013","138","23","50","0","500","215"
"2014","138","24","60","0","606","249"
"2015","141","19","24","1.3","149","128"
"2016","65","20","23","1.3","127","117"
"2017","90","36","105","1.3","954","291"
"2018","138","22","41","1.5","283","185"
"2019","151","37","66","1.3","425","179"
"2020","154","30","49","1.3","280","166"
"2021","151","35","57","1.3","290","166"
"2022","156","33","56","1.3","304","167"
