"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","126","115","106","10","567","92"
"2010","143","116","106","8","507","91"
"2011","103","138","129","25","734","94"
"2012","112","92","99","14","795","108"
"2013","138","84","81","0","500","96"
"2014","138","97","108","0","555","111"
"2015","141","75","86","25","610","116"
"2016","65","108","100","5.9","428","92"
"2017","90","110","366","25","3497","334"
"2018","138","84","85","18","527","101"
"2019","151","113","146","17","998","129"
"2020","154","84","96","18","639","113"
"2021","151","115","113","5","614","99"
"2022","156","97","115","14","622","118"
