"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","104","164","66","18","318","40"
"2010","143","180","65","25","319","36"
"2011","103","214","61","85","332","28"
"2012","111","211","71","58","331","34"
"2013","138","182","80","0","544","44"
"2014","138","166","71","0","373","43"
"2015","141","174","54","83","383","31"
"2016","65","188","68","83","314","36"
"2017","90","170","67","23","380","40"
"2018","138","195","77","66","714","39"
"2019","151","178","65","63","504","37"
"2020","154","196","57","95","348","29"
"2021","151","190","69","59","308","36"
"2022","156","184","56","66","288","30"
