"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","126","2.7","2.6","0.12","13","100"
"2010","143","3.1","2.7","0.28","12","85"
"2011","103","3.9","2.7","0.37","12","70"
"2012","112","2.9","2.5","0.37","17","83"
"2013","138","2.5","1.6","0","7","64"
"2014","138","2.6","2.3","0","20","88"
"2015","141","2.3","1.4","0.47","8","62"
"2016","65","2.2","1.5","0.39","8","68"
"2017","90","2.7","4.9","0.43","47","182"
"2018","138","2.6","2.1","0.4","17","83"
"2019","151","2.7","1.9","0.47","11","69"
"2020","154","2.9","1.9","0.52","8.7","64"
"2021","151","2.7","1.7","0.47","8.2","63"
"2022","156","2.6","1.6","0.44","6.6","60"
