"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","0","","","Inf","-Inf",""
"2010","65","0.35","0.48","0","1","136"
"2011","103","0.6","0.49","0","1","82"
"2012","105","0.44","0.5","0","1","114"
"2013","74","0.53","0.5","0","1","95"
"2014","113","0.27","0.45","0","1","163"
"2015","89","0.37","0.49","0","1","131"
"2016","65","0.15","0.36","0","1","236"
"2017","90","0.14","0.35","0","1","245"
"2018","75","0.19","0.39","0","1","210"
"2019","0","","","Inf","-Inf",""
"2020","0","","","Inf","-Inf",""
"2021","0","","","Inf","-Inf",""
"2022","0","","","Inf","-Inf",""
