"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","126","0.92","1.9","0.1","15","211"
"2010","143","4.9","44","0.1","530","904"
"2011","103","0.92","1.3","0.1","7.5","138"
"2012","112","1.1","1.4","0.1","7.2","133"
"2013","138","1.4","2","0","12","148"
"2014","138","1.1","1.5","0","8.8","136"
"2015","141","1.8","2.4","0.1","12","134"
"2016","65","1.5","2.5","0.1","11","165"
"2017","90","1.1","1.5","0.1","7.1","139"
"2018","138","0.78","1.2","0.1","6","147"
"2019","151","0.73","1.4","0.1","9.3","192"
"2020","154","1.3","2.2","0.1","9.8","168"
"2021","151","0.84","1.8","0.1","17","219"
"2022","156","0.76","2.2","0.1","25","291"
