"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","126","0.11","0.051","0.1","0.52","48"
"2010","143","0.1","0.0005","0.1","0.11","0.5"
"2011","102","0.1","0.016","0.1","0.24","16"
"2012","112","0.1","0.027","0.1","0.32","26"
"2013","138","0.098","0.018","0","0.14","18"
"2014","138","0.097","0.02","0","0.16","20"
"2015","141","0.1","0.028","0.1","0.38","26"
"2016","65","0.1","0.012","0.1","0.19","11"
"2017","90","0.1","0.032","0.1","0.4","30"
"2018","138","0.1","0.019","0.1","0.31","19"
"2019","151","0.1","0.0028","0.1","0.14","2.8"
"2020","154","0.1","0.0028","0.1","0.12","2.8"
"2021","151","0.11","0.038","0.1","0.52","36"
"2022","156","0.1","0.0061","0.1","0.16","6.1"
