"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","104","18","117","0.019","940","639"
"2010","143","2.2","3.6","0.01","17","163"
"2011","103","2.9","4.3","0.019","21","147"
"2012","112","1.7","2.9","0.019","13","173"
"2013","138","1.2","2.2","0.19","10","187"
"2014","138","1.3","3","0","23","232"
"2015","141","0.69","1.4","0.19","12","198"
"2016","65","1.1","2.8","0.019","15","268"
"2017","90","0.93","1.9","0.19","11","207"
"2018","138","1.2","2.5","0.1","15","210"
"2019","151","1.7","3.1","0.1","16","177"
"2020","154","1.3","2.5","0.1","17","195"
"2021","151","0.91","1.5","0.1","11","165"
"2022","156","0.91","1.1","0.1","9.2","117"
