"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","122","76","32","13","178","43"
"2010","139","72","43","10","198","59"
"2011","91","92","42","20","201","45"
"2012","112","102","45","10","196","44"
"2013","138","101","62","0","230","61"
"2014","138","96","55","0","191","58"
"2015","141","105","65","10","559","61"
"2016","65","103","58","10","199","56"
"2017","90","89","57","12","209","64"
"2018","138","87","43","10","200","50"
"2019","147","89","40","10","200","44"
"2020","154","100","43","18","288","43"
"2021","151","112","52","10","193","47"
"2022","156","108","49","10","210","46"
