"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","103","82","46","13","349","55"
"2010","143","65","30","11","152","46"
"2011","103","77","30","21","147","39"
"2012","112","96","63","15","607","66"
"2013","138","93","49","0","217","52"
"2014","138","83","47","0","196","56"
"2015","141","88","46","9.2","173","53"
"2016","65","100","36","15","191","36"
"2017","90","93","44","1.2","218","47"
"2018","138","112","64","10","567","57"
"2019","151","92","34","14","195","37"
"2020","154","93","46","0.41","386","50"
"2021","151","102","129","0.48","1575","127"
"2022","156","89","70","10","748","78"
