"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","130","567","215","0","1126","38"
"2010","143","571","241","87","1377","42"
"2011","103","645","253","109","1974","39"
"2012","112","671","245","198","1636","36"
"2013","138","622","279","0","1214","45"
"2014","138","581","259","0","1024","45"
"2015","141","632","233","214","1134","37"
"2016","65","623","231","236","1039","37"
"2017","90","541","259","105","1694","48"
"2018","138","584","238","182","1696","41"
"2019","151","570","203","164","1058","36"
"2020","154","628","218","243","1354","35"
"2021","151","641","256","80","1074","40"
"2022","156","615","219","187","1064","36"
