"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","104","48","75","2.7","415","158"
"2010","143","123","225","2.6","1272","182"
"2011","103","67","87","2.2","500","131"
"2012","112","39","57","1.4","340","145"
"2013","138","70","157","0","1400","225"
"2014","138","43","57","0","300","132"
"2015","141","28","40","1.8","220","141"
"2016","65","40","60","2.5","240","148"
"2017","90","58","202","1.7","1900","349"
"2018","138","35","58","1.4","400","169"
"2019","151","33","58","1","550","177"
"2020","154","27","38","1","250","139"
"2021","151","58","98","1","700","170"
"2022","156","48","96","1.2","750","200"
