"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","126","256","348","0.02","950","136"
"2010","143","268","376","0.02","990","140"
"2011","102","233","293","0.02","970","126"
"2012","112","281","315","0.02","990","112"
"2013","138","207","295","0","960","143"
"2014","138","260","274","0","970","105"
"2015","141","224","272","0.02","960","122"
"2016","65","196","265","0.02","910","135"
"2017","90","219","279","0.02","980","127"
"2018","138","332","286","0","990","86"
"2019","151","217","248","0.02","960","114"
"2020","154","204","267","0.02","950","131"
"2021","151","235","266","0.02","960","114"
"2022","156","203","275","0.02","980","135"
