"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","126","7.7","0.4","6.9","8.5","5.2"
"2010","143","7.6","0.38","6.3","8.7","5"
"2011","103","7.6","0.41","6.8","8.7","5.4"
"2012","112","7.7","0.41","6.3","9.2","5.3"
"2013","138","7.6","0.89","0","9.7","12"
"2014","138","7.5","1.1","0","9.1","14"
"2015","141","7.7","0.44","6.9","9.2","5.7"
"2016","65","7.7","0.44","7","9.2","5.7"
"2017","90","7.7","0.43","7","9.1","5.6"
"2018","138","7.7","0.56","5.9","9.6","7.4"
"2019","151","7.5","0.52","6.2","9.4","7"
"2020","154","7.4","0.61","6.2","9.3","8.2"
"2021","151","7.5","0.48","6.2","9.4","6.4"
"2022","156","7.5","0.71","0.8","9.3","9.5"
