"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","90","100","14","62","130","14"
"2010","70","105","29","49","146","27"
"2011","30","113","17","77","136","15"
"2012","30","99","13","83","142","13"
"2013","36","89","19","64","119","21"
"2014","40","79","7.1","66","92","9"
"2015","40","106","96","67","395","91"
"2016","15","74","9.2","56","83","12"
"2017","6","72","3","68","75","4.2"
"2018","18","70","3.5","66","76","5.1"
"2019","35","72","7.2","61","86","10"
"2020","3","65","1.5","64","67","2.2"
"2021","28","83","6.5","73","95","7.8"
"2022","43","69","3.9","62","77","5.6"
