"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","80","22993","77905","3","460000","339"
"2010","70","11231","34237","3","240000","305"
"2011","50","15948","47880","3","230000","300"
"2012","30","181016","472682","3","2100000","261"
"2013","36","15862","29309","3","110000","185"
"2014","40","119891","726557","40","4600000","606"
"2015","40","2527","3893","40","15000","154"
"2016","12","731","1313","3","4300","180"
"2017","6","16107","23212","40","46000","144"
"2018","18","3099","5709","90","24000","184"
"2019","35","12867","41115","90","240000","320"
"2020","3","288","247","3","430","86"
"2021","28","21733","88335","3","460000","406"
"2022","43","1081172","7013253","4","46000000","649"
