"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","90","1054","63","930","1219","6"
"2010","70","1015","206","607","1455","20"
"2011","50","1084","139","739","1279","13"
"2012","30","1005","101","809","1271","10"
"2013","36","1042","199","810","1689","19"
"2014","40","1090","1479","100","10065","136"
"2015","40","920","30","845","961","3.2"
"2016","15","935","93","753","1018","9.9"
"2017","6","921","94","830","1009","10"
"2018","18","950","46","902","1037","4.9"
"2019","35","977","97","789","1088","9.9"
"2020","3","827","1.2","826","828","0.14"
"2021","28","994","96","853","1198","9.7"
"2022","43","830","65","722","1080","7.8"
