"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","90","143","27","94","227","19"
"2010","70","132","52","16","220","39"
"2011","30","187","24","156","253","13"
"2012","30","205","16","183","229","8.1"
"2013","36","199","33","117","259","16"
"2014","40","200","21","131","232","11"
"2015","40","203","31","29","233","15"
"2016","15","213","20","191","247","9.2"
"2017","6","237","5.2","230","244","2.2"
"2018","18","241","12","226","263","5"
"2019","35","236","18","205","279","7.7"
"2020","3","238","8.5","229","246","3.6"
"2021","28","215","14","182","233","6.6"
"2022","43","189","18","93","209","9.4"
