"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","90","0.89","0.098","0.63","1.1","11"
"2010","70","1.1","0.16","0.7","1.4","15"
"2011","30","1","0.1","0.79","1.2","10"
"2012","30","0.85","0.17","0.43","1.2","21"
"2013","36","0.7","0.28","0.3","1.1","41"
"2014","40","18","111","0.27","700","612"
"2015","40","0.68","0.092","0.47","0.84","14"
"2016","15","0.64","0.16","0.38","0.81","25"
"2017","6","0.51","0.026","0.48","0.55","5"
"2018","18","0.65","0.18","0.42","0.96","28"
"2019","35","1.2","0.86","0.41","3.2","70"
"2020","3","0.64","0.23","0.45","0.89","36"
"2021","28","0.66","0.25","0.45","1.8","38"
"2022","43","0.69","0.61","0.36","4.6","89"
