"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","88","22","79","0.32","580","364"
"2010","70","14","16","4.2","91","111"
"2011","30","9","5","4.2","34","56"
"2012","30","9","3.3","8.4","26","36"
"2013","36","8.4","0.07","8.4","8.8","0.84"
"2014","40","9.7","8.2","8.4","60","85"
"2015","40","9.4","6.3","8.4","48","66"
"2016","15","8.4","0","8.4","8.4","0"
"2017","6","8.4","0","8.4","8.4","0"
"2018","18","6.7","1.8","5.1","10","27"
"2019","35","6","2.7","5.1","16","44"
"2020","3","5.1","0","5.1","5.1","0"
"2021","28","7.1","3.1","5.1","18","43"
"2022","43","7","2.5","5.1","14","35"
