"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","59","66","247","0.1","990","373"
"2010","10","0.12","0.015","0.1","0.15","12"
"2011","10","0.14","0.013","0.12","0.17","8.9"
"2012","0","","","Inf","-Inf",""
"2013","26","455","350","0.09","980","77"
"2014","40","509","354","0.05","990","70"
"2015","40","414","394","0.05","960","95"
"2016","15","287","323","0.05","750","113"
"2017","6","917","2245","0.05","5500","245"
"2018","18","358","377","0.05","980","105"
"2019","35","553","332","0.05","970","60"
"2020","3","693","64","620","740","9.3"
"2021","28","506","395","0.09","970","78"
"2022","43","525","303","0.05","920","58"
