"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","90","1.2","1.1","0.23","6.4","90"
"2010","70","1.7","1.4","0.5","5.3","83"
"2011","50","1.7","0.91","0.5","4.5","52"
"2012","20","0.5","0","0.5","0.5","0"
"2013","36","0.78","0.39","0.5","2.1","50"
"2014","40","0.8","0.35","0.5","1.8","44"
"2015","40","0.62","0.24","0.5","1.6","39"
"2016","15","0.5","0","0.5","0.5","0"
"2017","6","0.5","0","0.5","0.5","0"
"2018","18","0.5","0","0.5","0.5","0"
"2019","34","0.61","0.38","0.5","2.6","63"
"2020","3","0.5","0","0.5","0.5","0"
"2021","28","0.73","0.29","0.5","1.8","40"
"2022","43","0.75","0.32","0.5","1.5","42"
