"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","90","8.7","2.7","3.4","16","31"
"2010","70","9.3","3.7","0.59","16","40"
"2011","50","6.2","2","2.1","10","32"
"2012","30","9","2","5.6","13","22"
"2013","36","7","2.1","2.3","11","30"
"2014","37","7.6","1.7","2.4","11","22"
"2015","40","7","1.3","4","9.8","19"
"2016","15","5","0.83","3.9","6.4","16"
"2017","0","","","Inf","-Inf",""
"2018","18","6.3","1.4","3.5","8.2","22"
"2019","35","7.2","1.2","5.3","11","17"
"2020","3","7.7","0.24","7.4","7.9","3.2"
"2021","28","7","0.85","4.4","8.6","12"
"2022","43","6.8","1.6","1.7","8.9","24"
