"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","80","2.4","1.2","0.5","4.2","51"
"2010","60","2","1.2","0.4","4.4","59"
"2011","50","2.2","1.3","0.38","4.3","58"
"2012","30","2.6","1.3","0.66","4.5","49"
"2013","36","2.9","1.5","0.57","8.1","54"
"2014","36","3","1.4","1","5.4","46"
"2015","40","3.2","1.2","1.5","5","36"
"2016","4","3.5","1.8","1.6","5.6","50"
"2017","0","","","Inf","-Inf",""
"2018","0","","","Inf","-Inf",""
"2019","0","","","Inf","-Inf",""
"2020","0","","","Inf","-Inf",""
"2021","0","","","Inf","-Inf",""
"2022","0","","","Inf","-Inf",""
