"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","83","44","144","0.019","680","328"
"2010","70","32","84","0.019","320","266"
"2011","30","0.17","0.085","0.019","0.32","49"
"2012","30","0.15","0.17","0.019","0.53","118"
"2013","36","0.039","0.059","0.019","0.23","149"
"2014","40","0.019","0","0.019","0.019","0"
"2015","40","0.019","0","0.019","0.019","0"
"2016","15","0.19","0","0.19","0.19","0"
"2017","6","0.19","0","0.19","0.19","0"
"2018","18","0.1","0","0.1","0.1","0"
"2019","35","0.11","0.014","0.1","0.16","13"
"2020","3","0.1","0","0.1","0.1","0"
"2021","28","0.12","0.047","0.1","0.28","39"
"2022","43","0.24","0.15","0.1","0.6","64"
