"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","90","61","40","1","238","65"
"2010","70","101","46","7","240","46"
"2011","50","102","54","19","236","53"
"2012","30","51","21","14","93","41"
"2013","36","37","20","7","87","54"
"2014","40","24","8.6","8","44","37"
"2015","40","18","6.9","7","38","38"
"2016","15","13","9","7","34","71"
"2017","6","9.2","2.7","7","13","30"
"2018","18","13","4.5","7","25","35"
"2019","35","17","7.2","8","40","43"
"2020","3","23","12","15","37","51"
"2021","28","22","5","12","30","23"
"2022","43","17","7.3","10","46","43"
