"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","90","641","73","214","782","11"
"2010","70","696","103","437","916","15"
"2011","40","695","235","36","1020","34"
"2012","30","675","71","583","806","10"
"2013","36","671","112","490","833","17"
"2014","40","603","47","512","684","7.8"
"2015","40","588","27","499","636","4.6"
"2016","15","571","52","470","647","9.1"
"2017","6","570","21","543","596","3.7"
"2018","18","541","39","489","618","7.3"
"2019","35","571","94","479","985","16"
"2020","3","501","17","484","517","3.3"
"2021","28","570","37","506","631","6.5"
"2022","43","485","40","428","687","8.2"
