"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","60","0.1","0.013","0.1","0.2","13"
"2010","70","0.11","0.029","0.1","0.3","27"
"2011","40","0.12","0.16","0.1","1.1","126"
"2012","30","0.1","0","0.1","0.1","0"
"2013","36","0.1","0","0.1","0.1","0"
"2014","40","0.1","0","0.1","0.1","0"
"2015","40","0.1","0","0.1","0.1","0"
"2016","15","0.1","0","0.1","0.1","0"
"2017","6","0.1","0","0.1","0.1","0"
"2018","18","0.1","0","0.1","0.1","0"
"2019","35","0.1","0","0.1","0.1","0"
"2020","3","0.1","0","0.1","0.1","0"
"2021","28","0.1","0","0.1","0.1","0"
"2022","43","0.1","0.015","0.1","0.2","15"
