"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","90","24","2.5","19","28","10"
"2010","70","24","2.9","17","29","12"
"2011","50","24","1.4","21","28","5.8"
"2012","30","25","1.3","23","28","5.3"
"2013","36","23","1.7","20","26","7.6"
"2014","40","23","2.9","18","28","12"
"2015","40","24","2.9","18","30","12"
"2016","15","23","1.4","20","25","6.3"
"2017","6","23","1.9","21","25","8.1"
"2018","18","22","2.9","16","24","13"
"2019","35","22","4.1","1","25","19"
"2020","3","19","1","18","20","5.3"
"2021","28","23","2","19","25","8.5"
"2022","43","23","1.8","19","27","7.9"
