"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","59","36","155","0.05","700","434"
"2010","60","9.3","71","0.06","550","760"
"2011","50","14","99","0.09","700","700"
"2012","20","0.19","0.058","0.12","0.36","31"
"2013","28","0.18","0.053","0.09","0.29","30"
"2014","0","","","Inf","-Inf",""
"2015","20","0.29","0.14","0.1","0.61","46"
"2016","8","0.7","0.22","0.46","1.2","31"
"2017","0","","","Inf","-Inf",""
"2018","0","","","Inf","-Inf",""
"2019","0","","","Inf","-Inf",""
"2020","0","","","Inf","-Inf",""
"2021","0","","","Inf","-Inf",""
"2022","0","","","Inf","-Inf",""
