"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","90","43","23","4.5","138","55"
"2010","70","84","35","18","180","42"
"2011","50","101","52","16","300","51"
"2012","30","48","17","10","100","35"
"2013","36","47","32","15","120","69"
"2014","40","20","12","12","90","63"
"2015","40","12","2.9","6.1","18","25"
"2016","15","7.9","3.3","2.1","13","42"
"2017","6","8.3","4.7","3.8","16","57"
"2018","18","7.3","2.4","3.8","13","33"
"2019","35","9.5","6.1","3.7","36","65"
"2020","3","8","1.2","6.6","8.8","15"
"2021","28","11","3","7.6","21","26"
"2022","43","9.7","3.9","5.4","23","40"
