"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","90","173","300","0.02","970","173"
"2010","70","321","351","0.02","960","109"
"2011","40","222","253","0.02","950","114"
"2012","30","337","285","0.02","830","85"
"2013","36","154","195","0.02","820","126"
"2014","40","211","266","0.02","940","126"
"2015","40","151","219","0.02","850","146"
"2016","15","17","67","0.02","260","386"
"2017","6","0.02","0","0.02","0.02","0"
"2018","18","143","226","0.02","780","158"
"2019","35","120","158","0.02","520","132"
"2020","3","107","185","0.02","320","173"
"2021","28","83","127","0.02","380","153"
"2022","43","62","180","0.02","830","292"
