"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","90","8.8","0.2","7.5","9.1","2.2"
"2010","70","9.1","0.2","8.2","9.4","2.2"
"2011","50","9","0.2","8.3","9.3","2.2"
"2012","30","8.9","0.21","8.4","9.2","2.3"
"2013","36","8.7","0.38","7.8","9.1","4.3"
"2014","40","30","133","7.9","848","449"
"2015","40","8.4","0.34","7.2","9.9","4.1"
"2016","15","7.9","0.18","7.5","8.1","2.3"
"2017","6","7.9","0.14","7.7","8.1","1.7"
"2018","18","8.2","0.2","7.9","8.6","2.4"
"2019","35","8.3","0.52","7.4","9.6","6.3"
"2020","3","7.6","0.12","7.5","7.7","1.5"
"2021","28","8.2","0.26","7.4","8.6","3.2"
"2022","43","8.3","0.26","7.7","8.7","3.1"
