"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","65","17","25","1.7","139","147"
"2010","0","","","Inf","-Inf",""
"2011","0","","","Inf","-Inf",""
"2012","0","","","Inf","-Inf",""
"2013","0","","","Inf","-Inf",""
"2014","49","0","0","0","0",""
"2015","0","","","Inf","-Inf",""
"2016","0","","","Inf","-Inf",""
"2017","0","","","Inf","-Inf",""
"2018","133","8.4","7.2","1.6","36","86"
"2019","151","23","19","0","113","84"
"2020","154","22","13","2","69","59"
"2021","151","18","12","2","65","65"
"2022","156","19","13","2","94","69"
