"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","126","644","1791","0.0005","8500","278"
"2010","143","195","869","0.0005","7500","445"
"2011","103","7883","23689","0.0005","95000","301"
"2012","112","14077","27776","0.0005","96000","197"
"2013","138","9522","24613","0","99000","258"
"2014","138","5539","18090","0","84000","327"
"2015","141","5805","19453","0.0005","97000","335"
"2016","65","4086","15203","0.0005","85000","372"
"2017","90","23255","32282","0.0005","99000","139"
"2018","138","16323","30776","0.0005","99000","189"
"2019","151","12531","26867","0.0005","94000","214"
"2020","154","17166","30791","0.0005","99000","179"
"2021","151","16821","31484","0.0005","99000","187"
"2022","156","11972","26097","0.0005","96000","218"
