"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","104","54","26","4.7","122","47"
"2010","143","56","31","9.2","175","55"
"2011","103","67","32","8.6","179","48"
"2012","112","68","35","8.8","170","51"
"2013","138","61","36","0","192","59"
"2014","138","55","31","0","115","56"
"2015","141","64","30","9.7","137","48"
"2016","65","65","38","8.4","143","58"
"2017","90","53","31","5.6","130","58"
"2018","138","63","34","8.6","258","54"
"2019","151","64","30","11","169","46"
"2020","154","71","31","18","229","44"
"2021","151","76","36","9.1","185","47"
"2022","156","73","37","12","268","51"
