"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","126","0.052","0.018","0.05","0.23","34"
"2010","143","8.4","70","0.05","630","839"
"2011","103","25","127","0.05","790","504"
"2012","112","24","125","0.05","880","532"
"2013","138","48","185","0","890","385"
"2014","138","31","147","0","920","481"
"2015","141","3.9","45","0","540","1172"
"2016","65","0.052","0.019","0.05","0.2","36"
"2017","90","0.056","0.06","0.05","0.62","106"
"2018","138","6.2","72","0.05","850","1165"
"2019","151","13","91","0.05","730","705"
"2020","154","18","112","0.05","820","617"
"2021","151","9.7","83","0.05","760","860"
"2022","156","17","108","0.05","890","629"
