"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","126","2177889","6017124","3","24000000","276"
"2010","125","2290304","6848456","3","46000000","299"
"2011","102","37193283","260333979","40","2400000000","700"
"2012","111","1898057","10739520","3","110000000","566"
"2013","136","190753","491451","0","4300000","258"
"2014","138","565461","2263375","0","24000000","400"
"2015","133","899866","2952105","3","24000000","328"
"2016","58","2421408","8583300","3","46000000","354"
"2017","90","2779221","6503516","40","46000000","234"
"2018","138","4072225","11865987","3","110000000","291"
"2019","151","11603756","42479971","90","460000000","366"
"2020","154","6787484","22106227","3","240000000","326"
"2021","151","15154939","91285168","3","1100000000","602"
"2022","156","14823582","54869440","4","460000000","370"
