"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","126","4122871","21966627","3","240000000","533"
"2010","121","3041943","7482247","230","46000000","246"
"2011","103","52492846","333034923","40","2400000000","634"
"2012","111","3273348","13490302","3","110000000","412"
"2013","130","420669","1310444","0","11000000","312"
"2014","138","1351338","4025534","0","24000000","298"
"2015","121","1304080","4721582","3","46000000","362"
"2016","58","2689653","8644962","3","46000000","321"
"2017","90","4362620","9814122","150","46000000","225"
"2018","138","6612552","19514376","3","110000000","295"
"2019","151","12867520","43816525","90","460000000","341"
"2020","154","8331714","23157629","3","240000000","278"
"2021","151","16985167","92087374","4","1100000000","542"
"2022","156","16446838","55956571","4","460000000","340"
